imo_number,mmsi,name,vessel_class,ship_type,flag,dwt_mt,gross_tonnage,loa_m,beam_m,max_draft_m,cargo_capacity_mt,year_built,source,source_reference,provenance,observed_at,identity_classification
,,CASA BLANCA,Tanker,Tanker,,,,86.0,10.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
,,TOBA,Tanker,Tanker,,,,140.0,11.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9539717,345070239,TAURO,Offshore Tug/Supply Ship,Offshore Tug/Supply Ship,,2866.0,2428.0,70.0,17.0,5.6,,2008.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
7407556,265586850,HERBERT,Tug,Tug,,,181.0,24.0,8.0,3.9,,1976.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,FESTINA-LENTE,Cargo ship,Cargo ship,,,,40.0,6.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
8415653,258822000,DANUBIA,General Cargo Ship,General Cargo Ship,,2550.0,1781.0,83.0,11.0,4.347,,1984.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9131943,255801550,AUTOPREMIER,Vehicles Carrier,Vehicles Carrier,,4443.0,11591.0,126.0,18.0,6.213,,1997.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9598579,672748000,TANIT,Passenger/Ro-Ro Cargo Ship,Passenger/Ro-Ro Cargo Ship,,6189.0,52645.0,210.0,30.0,7.59,,2012.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
7104219,232003591,NORSTONE,Dredger,Dredger,,1803.0,1143.0,67.0,12.0,4.51,,1971.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9341732,246512000,NORDFJORD,General Cargo Ship,General Cargo Ship,,6000.0,3990.0,110.0,14.0,6.09,,2006.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9507350,248689000,WILSON ALGECIRAS,General Cargo Ship,General Cargo Ship,,3583.0,2451.0,90.0,12.0,5.139,,2010.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9007128,265041000,AURORA,Passenger/Ro-Ro Cargo Ship,Passenger/Ro-Ro Cargo Ship,,2547.0,10918.0,110.0,28.0,5.0,,1992.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,DE TWAALF,Tug,Tug,,,,15.0,4.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
,,GG19 CLINTON,Fishing vessel,Fishing vessel,,,,20.0,6.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9318101,636091231,DON PASCUALE,Container Ship,Container Ship,,101477.0,91649.0,334.0,43.0,14.5,,2007.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,SWISS CRYSTAL,Passenger ship,Passenger ship,,,,100.0,12.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
